1.119121402, Sport: ,Basketball, Time: ,Sat Jun 20 00:45:00 CEST 2015, Time: ,Sat Jun 20 00:45:00 CEST 2015, Event: ,Suriname v Guyana, Favorite: ,Guyana, 9582143   size:105.0,Price: ,1.02,Suriname, 9582187   size:2636.68,Price: ,1.05,x
1.119205767, Sport: ,Baseball, Time: ,Sat Jun 20 02:10:00 CEST 2015, Time: ,Sat Jun 20 02:10:00 CEST 2015, Event: ,BOS @ KC, Favorite: ,Kansas City (Y Pino), 9648317   size:112.23,Price: ,1.89,Boston (E Rodriguez), 9531865   size:278.0,Price: ,2.06,x
1.119150492, Sport: ,Cricket, Time: ,Fri Jun 19 20:00:00 CEST 2015, Time: ,Fri Jun 19 20:00:00 CEST 2015, Event: ,Yorkshire v Nottinghamshire, Favorite: ,Yorkshire, 655   size:15.03,Price: ,1.83,Nottinghamshire, 2780   size:6.88,Price: ,2.04,ok
1.119155762, Sport: ,Baseball, Time: ,Sat Jun 20 02:40:00 CEST 2015, Time: ,Sat Jun 20 02:40:00 CEST 2015, Event: ,MIL @ COL, Favorite: ,Colorado (J De La Rosa), 3017245   size:309.0,Price: ,1.68,Milwaukee (T Jungmann), 9573008   size:107.0,Price: ,2.4,x
1.119155682, Sport: ,Baseball, Time: ,Sat Jun 20 01:05:00 CEST 2015, Time: ,Sat Jun 20 01:05:00 CEST 2015, Event: ,DET @ NYY, Favorite: ,NY Yankees (A Warren), 6476458   size:302.61,Price: ,1.86,Detroit (J Verlander), 1189590   size:302.0,Price: ,2.08,ok
1.119092599, Sport: ,Basketball, Time: ,Sat Jun 20 04:00:00 CEST 2015, Time: ,Sat Jun 20 04:00:00 CEST 2015, Event: ,Connecticut @ Phoenix, Favorite: ,Phoenix, 13128   size:115.65,Price: ,1.43,Connecticut, 332194   size:2.11,Price: ,3.05,x
1.119201859, Sport: ,Tennis, Time: ,Sat Jun 20 04:00:00 CEST 2015, Time: ,Sat Jun 20 04:00:00 CEST 2015, Event: ,Risa Ozaki v Kai Chen Chang, Favorite: ,Kai Chen Chang, 4148124   size:2.55,Price: ,1.59,Risa Ozaki, 7593284   size:2.89,Price: ,2.48,x
1.119121399, Sport: ,Basketball, Time: ,Fri Jun 19 22:15:00 CEST 2015, Time: ,Fri Jun 19 22:15:00 CEST 2015, Event: ,Barbados v Cayman Islands, Favorite: ,Cayman Islands, 9582140   size:105.0,Price: ,1.02,x
1.119201213, Sport: ,Tennis, Time: ,Fri Jun 19 20:30:00 CEST 2015, Time: ,Fri Jun 19 20:30:00 CEST 2015, Event: ,Peya/Bruno Soares v Herbert/Nicolas Mahut, Favorite: ,Peya/Soares, 6504095   size:3.65,Price: ,1.68,Herbert/Mahut, 8942538   size:40.53,Price: ,2.26,x
1.119173317, Sport: ,Basketball, Time: ,Sat Jun 20 03:00:00 CEST 2015, Time: ,Sat Jun 20 03:00:00 CEST 2015, Event: ,Quimsa v San Martin, Favorite: ,Quimsa, 6243645   size:2.55,Price: ,1.29,San Martin, 8861781   size:2.55,Price: ,4.1,ok
1.119205890, Sport: ,Baseball, Time: ,Sat Jun 20 01:05:00 CEST 2015, Time: ,Sat Jun 20 01:05:00 CEST 2015, Event: ,STL @ PHI, Favorite: ,St Louis (T Lyons), 7289528   size:287.75,Price: ,1.55,Philadelphia (P Aumont), 9648322   size:386.4,Price: ,2.74,ok
1.119155722, Sport: ,Baseball, Time: ,Sat Jun 20 01:10:00 CEST 2015, Time: ,Sat Jun 20 01:10:00 CEST 2015, Event: ,TB @ CLE, Favorite: ,Cleveland (C Carrasco), 4153692   size:5.0,Price: ,1.67,Tampa Bay (N Karns), 8837227   size:107.88,Price: ,2.44,x
1.119173258, Sport: ,Basketball, Time: ,Fri Jun 19 20:30:00 CEST 2015, Time: ,Fri Jun 19 20:30:00 CEST 2015, Event: ,France (W) v Turkey (W), Favorite: ,France (W), 6469563   size:13.46,Price: ,1.3,Turkey (W), 6469561   size:191.98,Price: ,4.1,x
1.119155786, Sport: ,Baseball, Time: ,Sat Jun 20 04:10:00 CEST 2015, Time: ,Sat Jun 20 04:10:00 CEST 2015, Event: ,HOU @ SEA, Favorite: ,Houston (L McCullers), 9496284   size:104.0,Price: ,1.83,Seattle (R Elias), 8436207   size:267.77,Price: ,2.16,x
1.119155794, Sport: ,Baseball, Time: ,Sat Jun 20 04:10:00 CEST 2015, Time: ,Sat Jun 20 04:10:00 CEST 2015, Event: ,SF @ LAD, Favorite: ,LA Dodgers (M Bolsinger), 9427456   size:468.0,Price: ,1.72,San Francisco (C Heston), 8875870   size:11.81,Price: ,2.3,x
1.119155770, Sport: ,Baseball, Time: ,Sat Jun 20 03:35:00 CEST 2015, Time: ,Sat Jun 20 03:35:00 CEST 2015, Event: ,LAA @ OAK, Favorite: ,Oakland (S Gray), 7569852   size:5.0,Price: ,1.67,LA Angels (M Shoemaker), 7683114   size:295.0,Price: ,2.44,x
1.119155690, Sport: ,Baseball, Time: ,Sat Jun 20 01:05:00 CEST 2015, Time: ,Sat Jun 20 01:05:00 CEST 2015, Event: ,PIT @ WSH, Favorite: ,Pittsburgh (A Burnett), 6327266   size:38.47,Price: ,1.9,Washington (J Ross), 9565218   size:713.66,Price: ,2.04,x
1.119092568, Sport: ,Basketball, Time: ,Sat Jun 20 01:00:00 CEST 2015, Time: ,Sat Jun 20 01:00:00 CEST 2015, Event: ,Tulsa @ Washington, Favorite: ,Washington, 13105   size:4.94,Price: ,1.62,Tulsa, 711056   size:4.71,Price: ,2.5,x
1.119168268, Sport: ,Basketball, Time: ,Fri Jun 19 19:00:00 CEST 2015, Time: ,Fri Jun 19 19:00:00 CEST 2015, Event: ,Real Madrid v Barcelona, Favorite: ,Real Madrid, 266274   size:65.25,Price: ,1.36,Barcelona, 266269   size:26.7,Price: ,3.75,ok
1.118854983, Sport: ,Cricket, Time: ,Fri Jun 19 18:30:00 CEST 2015, Time: ,Fri Jun 19 18:30:00 CEST 2015, Event: ,Ireland v Scotland (2nd T20), Favorite: ,Ireland, 152530   size:4.41,Price: ,1.71,Scotland, 152533   size:29.75,Price: ,2.3,x
1.119201325, Sport: ,Tennis, Time: ,Fri Jun 19 18:45:00 CEST 2015, Time: ,Fri Jun 19 18:45:00 CEST 2015, Event: ,Troicki v Isner, Favorite: ,John Isner, 2474763   size:148.87,Price: ,1.76,Viktor Troicki, 2263624   size:2.8,Price: ,2.3,x
1.119206119, Sport: ,Baseball, Time: ,Sat Jun 20 01:10:00 CEST 2015, Time: ,Sat Jun 20 01:10:00 CEST 2015, Event: ,MIA @ CIN, Favorite: ,Cincinnati (M Leake), 4640134   size:321.0,Price: ,1.8,Miami (D Haren), 9389911   size:10.0,Price: ,2.2,ok
1.119150489, Sport: ,Cricket, Time: ,Fri Jun 19 19:30:00 CEST 2015, Time: ,Fri Jun 19 19:30:00 CEST 2015, Event: ,Surrey v Kent, Favorite: ,Kent, 5901   size:4.59,Price: ,1.74,Surrey, 424676   size:25.48,Price: ,2.3,ok
1.119155746, Sport: ,Baseball, Time: ,Sat Jun 20 02:10:00 CEST 2015, Time: ,Sat Jun 20 02:10:00 CEST 2015, Event: ,CHC @ MIN, Favorite: ,Minnesota (P Hughes), 8436206   size:5.0,Price: ,1.93,Chicago Cubs (K Hendricks), 8688427   size:457.98,Price: ,2.02,ok
1.119155778, Sport: ,Baseball, Time: ,Sat Jun 20 03:40:00 CEST 2015, Time: ,Sat Jun 20 03:40:00 CEST 2015, Event: ,SD @ ARI, Favorite: ,San Diego (J Shields), 9378795   size:328.0,Price: ,1.93,Arizona (R De La Rosa), 9382117   size:106.0,Price: ,2.0,x
1.119150474, Sport: ,Cricket, Time: ,Fri Jun 19 18:30:00 CEST 2015, Time: ,Fri Jun 19 18:30:00 CEST 2015, Event: ,Worcestershire v Derbyshire, Favorite: ,Worcestershire, 31372   size:50.08,Price: ,1.65,Derbyshire, 31375   size:7.88,Price: ,2.4,ok
1.119150484, Sport: ,Cricket, Time: ,Fri Jun 19 19:30:00 CEST 2015, Time: ,Fri Jun 19 19:30:00 CEST 2015, Event: ,Warwickshire v Leicestershire, Favorite: ,Warwickshire, 2120   size:16.89,Price: ,1.66,Leicestershire, 31377   size:15.13,Price: ,2.36,x
1.119150495, Sport: ,Cricket, Time: ,Fri Jun 19 20:00:00 CEST 2015, Time: ,Fri Jun 19 20:00:00 CEST 2015, Event: ,Essex v Glamorgan, Favorite: ,Essex, 31376   size:17.13,Price: ,1.82,Glamorgan, 169   size:43.39,Price: ,2.16,ok
1.119155754, Sport: ,Baseball, Time: ,Sat Jun 20 02:10:00 CEST 2015, Time: ,Sat Jun 20 02:10:00 CEST 2015, Event: ,TEX @ CWS, Favorite: ,Chicago White Sox (C Sale), 6296975   size:5.0,Price: ,1.6,Texas (C Lewis), 4634645   size:342.0,Price: ,2.6,x
1.119150498, Sport: ,Cricket, Time: ,Fri Jun 19 20:00:00 CEST 2015, Time: ,Fri Jun 19 20:00:00 CEST 2015, Event: ,Hampshire v Sussex, Favorite: ,Hampshire, 3961   size:143.85,Price: ,1.54,Sussex, 31379   size:2.55,Price: ,2.46,x
1.119150382, Sport: ,Cricket, Time: ,Fri Jun 19 18:30:00 CEST 2015, Time: ,Fri Jun 19 18:30:00 CEST 2015, Event: ,Gloucestershire v Somerset, Favorite: ,Gloucestershire, 2219   size:38.38,Price: ,1.88,Somerset, 5995   size:199.23,Price: ,2.12,x
1.119155730, Sport: ,Baseball, Time: ,Sat Jun 20 01:35:00 CEST 2015, Time: ,Sat Jun 20 01:35:00 CEST 2015, Event: ,NYM @ ATL, Favorite: ,NY Mets (J deGrom), 8530475   size:109.99,Price: ,1.75,Atlanta (M Wisler), 9647265   size:643.01,Price: ,2.22,x
1.119092582, Sport: ,Basketball, Time: ,Sat Jun 20 01:30:00 CEST 2015, Time: ,Sat Jun 20 01:30:00 CEST 2015, Event: ,Chicago @ Atlanta, Favorite: ,Chicago, 13117   size:94.91,Price: ,1.64,Atlanta, 13114   size:42.97,Price: ,2.34,x
1.119092575, Sport: ,Basketball, Time: ,Sat Jun 20 01:30:00 CEST 2015, Time: ,Sat Jun 20 01:30:00 CEST 2015, Event: ,Indiana @ New York, Favorite: ,New York, 13106   size:7.55,Price: ,1.63,Indiana, 13116   size:128.86,Price: ,2.36,x
1.119143050, Sport: ,Basketball, Time: ,Fri Jun 19 19:00:00 CEST 2015, Time: ,Fri Jun 19 19:00:00 CEST 2015, Event: ,Anadolu Efes v Pinar Karsiyaka, Favorite: ,Anadolu Efes, 5832279   size:3.55,Price: ,1.42,Pinar Karsiyaka, 631283   size:44.49,Price: ,3.15,x
1.119201858, Sport: ,Tennis, Time: ,Sat Jun 20 05:00:00 CEST 2015, Time: ,Sat Jun 20 05:00:00 CEST 2015, Event: ,Chang Liu v Xinyun Han, Favorite: ,Xinyun Han, 3172285   size:7.29,Price: ,1.87,Chang Liu, 7656823   size:7.25,Price: ,2.0,x
1.119092589, Sport: ,Basketball, Time: ,Sat Jun 20 02:00:00 CEST 2015, Time: ,Sat Jun 20 02:00:00 CEST 2015, Event: ,Minnesota @ San Antonio, Favorite: ,Minnesota, 13118   size:194.51,Price: ,1.29,San Antonio, 13121   size:2.55,Price: ,3.95,ok
1.119150479, Sport: ,Cricket, Time: ,Fri Jun 19 19:30:00 CEST 2015, Time: ,Fri Jun 19 19:30:00 CEST 2015, Event: ,Northamptonshire v Lancashire, Favorite: ,Lancashire, 424679   size:17.27,Price: ,1.93,Northamptonshire, 475559   size:69.65,Price: ,2.02,x
