1.119603357, Sport: ,Soccer, Time: ,Fri Jul 24 01:30:00 CEST 2015, Time: ,Fri Jul 24 01:30:00 CEST 2015, Event: ,Metropolitanos v Zulia, Favorite: ,Metropolitanos, 8761113   size:7.48,Price: ,1.91,The Draw, 58805   size:6.0,Price: ,3.55,Zulia, 8018679   size:5.0,Price: ,4.8,x
1.119511178, Sport: ,Baseball, Time: ,Fri Jul 24 01:15:00 CEST 2015, Time: ,Fri Jul 24 01:15:00 CEST 2015, Event: ,KC @ STL, Favorite: ,St Louis (J Lackey), 8750362   size:3.34,Price: ,1.72,Kansas City (C Young), 9448847   size:257.0,Price: ,2.34,ok
1.119585115, Sport: ,Handball, Time: ,Fri Jul 24 01:45:00 CEST 2015, Time: ,Fri Jul 24 01:45:00 CEST 2015, Event: ,Denmark U21 v Algeria U21, Favorite: ,Denmark U21, 7437017   size:2699.99,Price: ,1.01,Algeria U21, 7437028   size:70.83,Price: ,19.5,Draw, 330157   size:70.58,Price: ,21.0,ok
1.119628639, Sport: ,Soccer, Time: ,Fri Jul 24 01:00:00 CEST 2015, Time: ,Fri Jul 24 01:00:00 CEST 2015, Event: ,Mirassol v Rio Preto EC, Favorite: ,Rio Preto EC, 7695877   size:10.91,Price: ,1.08,The Draw, 58805   size:10.91,Price: ,1.29,Mirassol, 2760854   size:100.0,Price: ,1.36,x
1.119617389, Sport: ,Tennis, Time: ,Fri Jul 24 01:00:00 CEST 2015, Time: ,Fri Jul 24 01:00:00 CEST 2015, Event: ,Menendez-Maceiras v B Tomic, Favorite: ,Bernard Tomic, 3588868   size:698.74,Price: ,1.25,Adrian Menendez-Maceira, 9128710   size:52.19,Price: ,4.7,ok
1.119585065, Sport: ,Handball, Time: ,Fri Jul 24 01:45:00 CEST 2015, Time: ,Fri Jul 24 01:45:00 CEST 2015, Event: ,Spain U21 v Portugal U21, Favorite: ,Spain U21, 7437030   size:3.55,Price: ,1.41,Portugal U21, 10026205   size:7.24,Price: ,3.7,Draw, 330157   size:71.15,Price: ,8.6,ok
1.119511170, Sport: ,Baseball, Time: ,Fri Jul 24 01:10:00 CEST 2015, Time: ,Fri Jul 24 01:10:00 CEST 2015, Event: ,LAD @ NYM, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:493.41,Price: ,1.41,NY Mets (B Colon), 8432627   size:74.81,Price: ,3.35,ok
1.119511162, Sport: ,Baseball, Time: ,Fri Jul 24 01:10:00 CEST 2015, Time: ,Fri Jul 24 01:10:00 CEST 2015, Event: ,CWS @ CLE, Favorite: ,Cleveland (T Bauer), 7184184   size:3.34,Price: ,1.76,Chi White Sox (J Samardzija), 9439851   size:325.0,Price: ,2.24,x
1.119511154, Sport: ,Baseball, Time: ,Fri Jul 24 01:05:00 CEST 2015, Time: ,Fri Jul 24 01:05:00 CEST 2015, Event: ,WSH @ PIT, Favorite: ,Pittsburgh (F Liriano), 7267454   size:667.48,Price: ,1.54,Washington (D Fister), 8516468   size:505.0,Price: ,2.66,ok
1.119631221, Sport: ,Tennis, Time: ,Fri Jul 24 00:15:00 CEST 2015, Time: ,Fri Jul 24 00:15:00 CEST 2015, Event: ,Al Gomez v T Ito, Favorite: ,Tatsuma Ito, 3374118   size:9397.54,Price: ,1.22,Alejandro Gomez, 8714009   size:62.74,Price: ,5.3,ok
1.119631198, Sport: ,Tennis, Time: ,Thu Jul 23 23:15:00 CEST 2015, Time: ,Thu Jul 23 23:15:00 CEST 2015, Event: ,Koolhof/Middelkoop v Groth/Guccione, Favorite: ,Groth/Guccione, 7387075   size:17.05,Price: ,1.28,Koolhof/Middelkoop, 9146551   size:2.55,Price: ,3.5,x
1.119617364, Sport: ,Tennis, Time: ,Thu Jul 23 23:30:00 CEST 2015, Time: ,Thu Jul 23 23:30:00 CEST 2015, Event: ,Edmund v N Rubin, Favorite: ,Kyle Edmund, 5626817   size:189.53,Price: ,1.38,Noah Rubin, 7593248   size:5.37,Price: ,3.25,ok
1.119631069, Sport: ,Tennis, Time: ,Thu Jul 23 22:39:00 CEST 2015, Time: ,Thu Jul 23 22:39:00 CEST 2015, Event: ,Stepanek v Groth, Favorite: ,Sam Groth, 8639819   size:28.83,Price: ,1.94,Radek Stepanek, 2249332   size:831.29,Price: ,2.02,x
1.119593050, Sport: ,Soccer, Time: ,Thu Jul 23 23:00:00 CEST 2015, Time: ,Thu Jul 23 23:00:00 CEST 2015, Event: ,Argentinos Juniors v Guarani AF, Favorite: ,Argentinos Juniors, 453739   size:116.31,Price: ,1.73,The Draw, 58805   size:466.6,Price: ,3.65,Guarani AF, 8742758   size:27.83,Price: ,6.4,x
1.119616584, Sport: ,Volleyball, Time: ,Fri Jul 24 00:00:00 CEST 2015, Time: ,Fri Jul 24 00:00:00 CEST 2015, Event: ,Japan (W) v China (W), Favorite: ,Japan (W), 7683862   size:9.53,Price: ,1.45,China (W), 7676900   size:5.21,Price: ,2.8,x
1.119617443, Sport: ,Tennis, Time: ,Fri Jul 24 00:00:00 CEST 2015, Time: ,Fri Jul 24 00:00:00 CEST 2015, Event: ,D King v Auger Aliassime, Favorite: ,Darian King, 8413749   size:103.79,Price: ,1.36,Felix Auger Aliassime, 9321841   size:10.44,Price: ,3.55,x
1.119631301, Sport: ,Tennis, Time: ,Thu Jul 23 23:00:00 CEST 2015, Time: ,Thu Jul 23 23:00:00 CEST 2015, Event: ,Roger-Vasselin/Stepanek v Demoliner/Menendez-Mace, Favorite: ,Roger-Vasselin/Stepanek, 10020246   size:15.7,Price: ,1.39,Demoliner/Menendez-Mace, 10020255   size:2.25,Price: ,2.82,ok
1.119585075, Sport: ,Handball, Time: ,Thu Jul 23 23:30:00 CEST 2015, Time: ,Thu Jul 23 23:30:00 CEST 2015, Event: ,Romania U21 v Serbia U21, Favorite: ,Serbia U21, 7437022   size:13.46,Price: ,1.62,Romania U21, 10026176   size:8.33,Price: ,2.62,Draw, 330157   size:71.19,Price: ,8.0,x
1.119585122, Sport: ,Handball, Time: ,Thu Jul 23 23:30:00 CEST 2015, Time: ,Thu Jul 23 23:30:00 CEST 2015, Event: ,Brazil U21 v Egypt U21, Favorite: ,Brazil U21, 7437037   size:19.64,Price: ,1.2,Egypt U21, 7437034   size:4.72,Price: ,5.9,Draw, 330157   size:71.22,Price: ,9.6,x
1.119617458, Sport: ,Cricket, Time: ,Fri Jul 24 00:00:00 CEST 2015, Time: ,Fri Jul 24 00:00:00 CEST 2015, Event: ,Trinidad & Tobago v Jamaica, Favorite: ,Jamaica, 2312313   size:1653.0,Price: ,1.74,Trinidad & Tobago, 2810072   size:232.63,Price: ,2.32,x
